Date,Exchange,FX,Return,r,3m,3mvUS,OI,NCL,NCS,NCSP,CL,CS,TRL,TRS,NRL,NRS,Contract
30/12/2008,CAD,1.2199,-0.04%,-0.0004,1.55,-0.01,47479,8473,18828,1028,16147,11281,25648,31137,21831,16342,"(CONTRACTS OF CAD 100,000)"
22/12/2008,CAD,1.2194,-1.23%,-0.0122,1.57,-0.17,43701,9345,19375,779,13793,8485,23917,28639,19784,15062,"(CONTRACTS OF CAD 100,000)"
16/12/2008,CAD,1.2046,4.79%,0.0491,1.65,-0.17,85413,10729,17477,3051,47649,46427,61429,66955,23984,18458,"(CONTRACTS OF CAD 100,000)"
09/12/2008,CAD,1.2652,-1.04%,-0.0103,2,-0.05,86795,12579,21408,1654,48345,43410,62578,66472,24217,20323,"(CONTRACTS OF CAD 100,000)"
02/12/2008,CAD,1.2522,-2.21%,-0.0219,2.05,-1.28,88581,13076,22783,3039,51053,45416,67168,71238,21413,17343,"(CONTRACTS OF CAD 100,000)"
25/11/2008,CAD,1.2251,0.22%,0.0022,2.45,-0.99,83766,12521,18790,3351,44510,44179,60382,66320,23384,17446,"(CONTRACTS OF CAD 100,000)"
18/11/2008,CAD,1.2278,-1.89%,-0.0187,3.04,0.77,92554,15426,22603,2976,48759,47530,67161,73109,25393,19445,"(CONTRACTS OF CAD 100,000)"
11/11/2008,CAD,1.205,-4.75%,-0.0464,2.97,0.55,98146,16067,19312,3559,54695,56699,74321,79570,23825,18576,"(CONTRACTS OF CAD 100,000)"
04/11/2008,CAD,1.1504,9.52%,0.1001,3.04,0.72,107787,17145,24639,3820,57222,55389,78187,83848,29600,23939,"(CONTRACTS OF CAD 100,000)"
28/10/2008,CAD,1.2715,-4.77%,-0.0466,3.14,-0.43,107866,18065,27912,4054,59656,56179,81775,88145,26091,19721,"(CONTRACTS OF CAD 100,000)"
21/10/2008,CAD,1.2136,-4.49%,-0.0439,3.48,-0.02,111438,20698,33093,3162,64022,53851,87882,90106,23556,21332,"(CONTRACTS OF CAD 100,000)"
