Date,AUDRR,AUD,EURGBPRR,EURGBP,EURSEKRR,EURSEK,GBPRR,GBP,CHFRR,CHF,EURCHFRR,EURCHF,EURJPYRR,EURJPY,EURRR,EUR,CADRR,CAD,JPYRR,JPY
01-Jan-96,-0.25,0.744,0.6,0.8771,1.2,9.0519,-0.2,1.5525,-0.15,1.1561,-0.5,1.5735,-0.35,141.1327,0,1.3617,0.3,1.365,-0.65,103.93
02-Jan-96,-0.15,0.7446,0.6,0.8757,1.2,9.0121,-0.3,1.5543,-0.25,1.1588,-0.5,1.5774,-0.2,141.4847,0.15,1.3614,0.3,1.3557,-0.45,103.93
03-Jan-96,-0.15,0.748,0.7,0.8718,1.2,8.9661,-0.3,1.5514,-0.25,1.1646,-0.5,1.577,-0.2,141.8563,0,1.3529,0.3,1.3531,-0.5,104.83
04-Jan-96,-0.15,0.7386,0.7,0.8742,1.2,8.925,-0.3,1.5516,-0.25,1.162,-0.5,1.5786,-0.2,142.5604,-0.15,1.3568,0.3,1.3551,-0.5,105.14
05-Jan-96,0,0.7472,1,0.8761,1.2,9.0024,-0.5,1.5513,-0.15,1.1613,-0.5,1.5784,-0.2,143.1081,-0.15,1.3593,0.3,1.3581,-0.45,105.2
08-Jan-96,0,0.7469,0.85,0.8757,1.2,8.9935,-0.6,1.5517,0,1.1618,-0.55,1.5789,0,142.9712,-0.05,1.3592,0.15,1.3635,0,105.21
09-Jan-96,0,0.7437,0.55,0.8776,1.2,8.9554,-0.55,1.549,0.15,1.1623,-0.55,1.5809,-0.2,142.1888,0.15,1.3598,0.15,1.3612,-0.15,104.49
10-Jan-96,0,0.7457,0.35,0.8808,1.2,8.9499,-0.4,1.5461,0.15,1.1603,-0.55,1.5803,0,142.8343,0.15,1.3622,0.15,1.365,-0.3,104.83
11-Jan-96,-0.15,0.7436,0.5,0.879,1.2,8.9466,-0.4,1.544,0.05,1.1605,-0.55,1.577,0.2,142.2084,0.25,1.3575,0.15,1.3629,-0.25,104.77
12-Jan-96,-0.15,0.7435,0.5,0.8762,1.2,8.9544,-0.4,1.546,-0.15,1.1625,-0.55,1.5748,0.15,142.6778,-0.05,1.3549,0.15,1.363,-0.25,105.29
15-Jan-96,-0.23,0.7414,0.5,0.8741,1.2,8.9098,-0.4,1.5439,-0.15,1.1665,-0.45,1.5752,0.15,142.0324,0,1.3498,0.15,1.3625,-0.45,105.27
16-Jan-96,-0.15,0.7441,0.6,0.8703,1.2,8.8937,-0.5,1.5354,-0.25,1.1793,-0.45,1.5756,0.05,141.387,-0.3,1.3366,0.15,1.3685,-0.55,105.86
17-Jan-96,-0.13,0.741,0.6,0.8731,1.2,8.9124,-0.55,1.521,0.05,1.1897,-0.2,1.5803,0,140.3308,-0.45,1.3284,0.15,1.3641,-0.55,105.63
18-Jan-96,0,0.738,0.5,0.8747,1.2,8.9181,-0.4,1.5169,0,1.1893,-0.3,1.5782,0,140.1743,-0.45,1.3272,0.15,1.3641,-0.35,105.6
19-Jan-96,-0.15,0.7344,0.35,0.8762,1.2,8.8868,-0.5,1.507,0,1.1937,-0.3,1.5774,0,139.1182,-0.65,1.3207,0.15,1.3663,-0.25,105.33
22-Jan-96,-0.2,0.734,0.15,0.8763,1.2,9.0551,-0.7,1.5107,0.45,1.1868,-0.4,1.5729,0,140.057,-0.4,1.3243,0.4,1.3697,0.15,105.77
23-Jan-96,-0.13,0.7351,0.15,0.8733,1.2,9.0805,-0.7,1.5138,0.45,1.1883,-0.1,1.5705,0,139.9005,-0.25,1.3224,0.25,1.3682,0.15,105.82
24-Jan-96,-0.2,0.7376,0.35,0.8722,1.2,9.0531,-0.95,1.5106,0.65,1.1912,-0.1,1.5705,-0.4,140.9567,-0.35,1.3179,0.38,1.3705,0.15,106.94
25-Jan-96,-0.35,0.738,0.55,0.8714,1.2,9.1166,-0.8,1.5073,0.4,1.1978,-0.2,1.5719,-0.35,140.3895,-0.25,1.3139,0.25,1.3786,0,106.87
26-Jan-96,-0.35,0.7384,0.65,0.873,1.2,9.1322,-0.7,1.5022,0.25,1.2113,-0.2,1.5879,-0.45,139.7832,-0.5,1.3118,0.25,1.381,0,106.65
29-Jan-96,-0.33,0.7408,0.5,0.876,1.2,9.2058,-0.7,1.5056,0.35,1.2059,-0.45,1.5909,-0.35,140.7806,-0.5,1.3192,0.25,1.3784,0.15,106.75
30-Jan-96,-0.3,0.7416,0.65,0.873,1.2,9.148,-0.8,1.505,0.25,1.2163,-0.45,1.5962,0,140.7415,-0.15,1.3141,0.23,1.3771,0.25,107.19
31-Jan-96,-0.25,0.7454,0.45,0.8684,1.2,9.1304,-0.8,1.5119,0.5,1.2128,-0.4,1.5924,0,140.5655,-0.35,1.3133,0.3,1.3746,0.25,107.09
01-Feb-96,-0.15,0.7484,0.45,0.866,1.2,9.1219,-0.8,1.5183,0.6,1.2145,-0.4,1.5969,-0.15,140.4482,-0.3,1.3152,0.25,1.3732,0.15,106.75
02-Feb-96,-0.25,0.7579,0.4,0.8656,1.2,9.144,-0.7,1.525,0.35,1.2142,-0.2,1.6022,-0.15,140.3895,-0.35,1.3203,0.25,1.376,0.15,106.45
05-Feb-96,-0.25,0.7551,0.3,0.8656,1.2,9.2556,-0.7,1.5398,0.45,1.1958,-0.3,1.5948,-0.3,140.2135,-0.15,1.3332,0.25,1.3765,0,105.16
06-Feb-96,-0.23,0.7536,0.2,0.8624,1.2,9.3232,-0.6,1.5408,0.45,1.1986,-0.3,1.5946,-0.13,139.7832,0.15,1.3291,0.3,1.372,0,105.13
07-Feb-96,-0.1,0.7518,0,0.8609,1.2,9.2986,-0.6,1.5375,0.45,1.2066,-0.3,1.5969,-0.1,140.409,0,1.324,0.25,1.3665,0,106.06
08-Feb-96,0.15,0.7574,-0.15,0.8616,1.2,9.2673,-0.5,1.5375,0.25,1.2045,-0.4,1.5965,-0.15,141.7586,0,1.325,0.25,1.3713,-0.25,107.02
09-Feb-96,0,0.7547,-0.15,0.865,1.2,9.2047,-0.15,1.5301,-0.15,1.207,-0.25,1.5985,-0.15,141.7977,0,1.3239,0.25,1.3712,-0.35,107.03
12-Feb-96,0.15,0.7536,-0.15,0.8664,1.2,9.2367,-0.15,1.5289,0,1.2045,0,1.5969,-0.35,141.5043,0,1.3249,-0.13,1.371,-0.25,106.81
13-Feb-96,0.15,0.7545,-0.2,0.8639,1.2,9.2125,-0.25,1.5369,0,1.2029,0,1.5973,-0.35,141.7586,0.15,1.3281,-0.13,1.373,-0.05,106.8
14-Feb-96,0.15,0.7555,-0.2,0.8666,1.2,9.2633,-0.25,1.5411,0,1.1957,0.1,1.5967,-0.35,141.8563,0.15,1.3359,-0.13,1.3799,-0.05,106.25
15-Feb-96,0.13,0.755,-0.2,0.8669,1.2,9.2469,-0.4,1.5378,0,1.1975,0.1,1.5962,-0.15,140.722,0.25,1.3334,-0.13,1.3796,-0.25,105.53
16-Feb-96,0.13,0.7552,-0.15,0.8667,1.2,9.2556,-0.45,1.5508,-0.15,1.1842,0,1.592,-0.15,141.3478,0.35,1.3443,-0.13,1.3814,-0.2,105.26
19-Feb-96,0,0.7537,0.45,0.8743,1.2,9.3182,-0.45,1.5461,-0.15,1.1765,0,1.5893,0.1,140.5068,0.55,1.3521,-0.15,1.385,-0.3,104.02
20-Feb-96,0,0.7528,0.45,0.8744,1.2,9.2224,-0.35,1.5452,-0.35,1.1786,0,1.5926,0.1,142.8343,0.55,1.3515,-0.15,1.3821,-0.45,105.75
21-Feb-96,0.18,0.7511,0.2,0.8738,1.2,9.1275,-0.5,1.5436,-0.35,1.1835,0,1.5965,0.1,141.5434,0.55,1.349,-0.15,1.3772,-0.45,104.93
22-Feb-96,0.15,0.7556,0.35,0.8736,1.2,9.0858,-0.3,1.5445,-0.55,1.1811,0,1.5926,-0.2,141.4847,0.55,1.3496,0,1.3741,-0.75,104.98
23-Feb-96,0.15,0.7574,0.4,0.876,1.2,9.0652,-0.35,1.5423,-0.55,1.176,0,1.5883,-0.35,141.6999,0.4,1.3513,0,1.3764,-0.55,104.85
26-Feb-96,0,0.7571,0.4,0.8765,1.2,9.0942,-0.25,1.5397,-0.55,1.1779,-0.25,1.5881,-0.25,140.7611,0.45,1.3499,0,1.374,-0.55,104.25
27-Feb-96,0,0.7585,0.3,0.8742,1.2,8.9948,-0.25,1.541,-0.55,1.1812,-0.2,1.5919,-0.35,140.2721,0.45,1.3475,0,1.3744,-0.95,104.21
28-Feb-96,0,0.7629,0.3,0.8704,1.2,8.9739,-0.2,1.5323,-0.4,1.1953,-0.15,1.595,-0.3,139.4311,0.4,1.334,0,1.3771,-0.85,104.55
29-Feb-96,0.13,0.7644,0.5,0.8667,1.2,8.9828,-0.25,1.5309,-0.45,1.2018,-0.25,1.594,-0.35,139.6658,0,1.3272,0.13,1.3702,-0.95,105.22
01-Mar-96,0.13,0.761,0.45,0.8668,1.2,8.9623,-0.25,1.5276,-0.45,1.2037,-0.35,1.594,-0.5,139.4507,0.05,1.3244,0.13,1.3704,-1,105.2
04-Mar-96,0.13,0.7605,0.25,0.8662,1.2,9.0482,-0.25,1.527,-0.4,1.2025,-0.25,1.5909,-0.5,139.1182,0.05,1.323,0.13,1.3716,-1.15,105.25
05-Mar-96,0,0.7595,0.2,0.8674,1.2,9.0672,-0.35,1.5293,0,1.1995,-0.2,1.5903,-0.45,139.4507,0,1.3269,0,1.3722,-0.85,105.23
06-Mar-96,0,0.764,0.2,0.8657,1.2,9.0541,-0.35,1.5293,-0.05,1.2008,-0.2,1.5915,-0.35,139.6463,0,1.3243,0,1.369,-0.65,105.41
07-Mar-96,-0.15,0.7635,0.3,0.8663,1.2,8.9739,-0.35,1.5299,-0.05,1.1993,-0.2,1.5891,-0.6,139.4702,-0.25,1.3255,-0.15,1.372,-0.75,105.26
08-Mar-96,-0.15,0.7674,0.2,0.8647,1.2,8.9798,-0.35,1.5226,0,1.202,-0.2,1.5815,-0.5,139.1182,-0.25,1.3169,-0.15,1.3685,-0.75,105.74
11-Mar-96,-0.15,0.7675,0.2,0.8662,1.2,9.017,-0.45,1.524,0,1.2005,-0.2,1.5854,-0.55,139.1964,-0.5,1.3204,-0.15,1.3655,-0.85,105.46
12-Mar-96,-0.15,0.77,0.2,0.8702,1.2,8.9963,-0.45,1.5235,0.25,1.1933,-0.2,1.5815,-0.45,139.5876,-0.5,1.3261,-0.15,1.3682,-0.65,105.25
13-Mar-96,-0.15,0.7736,0.2,0.8733,1.2,9.0124,-0.35,1.5231,0.25,1.1875,-0.2,1.5795,-0.45,139.7636,-0.25,1.3304,-0.15,1.3682,-0.55,105.1
14-Mar-96,-0.15,0.7735,1,0.8701,1.2,9.014,-0.5,1.5279,0.5,1.1874,-0.2,1.5789,-0.45,140.2721,-0.15,1.3298,-0.15,1.368,-0.55,105.5
15-Mar-96,-0.15,0.7736,1,0.8689,1.2,8.9896,-0.5,1.5288,0.5,1.1857,-0.3,1.5772,-0.45,140.6242,-0.05,1.3287,-0.15,1.3639,-0.55,105.85
18-Mar-96,0,0.774,1,0.8645,1.2,8.9142,-0.45,1.5322,0.25,1.1906,-0.3,1.578,-0.45,140.5264,0,1.3249,0,1.3588,-0.75,106.05
19-Mar-96,0,0.7725,0.4,0.8657,1.2,8.8377,-0.45,1.5333,0.15,1.1885,-0.3,1.5784,-0.55,140.9567,0.15,1.3278,0,1.3585,-0.75,106.16
20-Mar-96,0,0.7758,0.4,0.8622,1.2,8.7653,-0.35,1.5388,0.05,1.1917,-0.3,1.5817,-0.55,141.1523,0.15,1.3271,0,1.3595,-0.75,106.37
21-Mar-96,0,0.7777,0.2,0.8602,1.2,8.8179,-0.25,1.5362,0,1.1965,-0.3,1.5825,-0.3,141.1523,-0.15,1.3217,0,1.3618,-0.55,106.84
22-Mar-96,-0.15,0.7765,0.2,0.8627,1.2,8.7826,-0.35,1.5358,-0.15,1.1934,-0.25,1.5813,-0.25,141.5043,-0.45,1.3253,-0.15,1.3618,-0.45,106.76
25-Mar-96,-0.15,0.7735,0.2,0.8717,1.2,8.7726,-0.35,1.5218,-0.15,1.1915,-0.25,1.577,-0.3,140.5264,-0.25,1.3269,-0.15,1.3629,-0.4,106.14
26-Mar-96,-0.15,0.7735,0,0.8687,1.2,8.7846,-0.25,1.5228,0.25,1.1934,-0.25,1.5782,-0.2,140.8589,-0.25,1.3231,-0.15,1.3616,-0.35,106.44
27-Mar-96,-0.15,0.7796,0,0.8671,1.2,8.7709,-0.15,1.5183,0.35,1.1974,-0.2,1.5782,-0.1,140.3699,-0.45,1.3168,-0.15,1.3625,0.15,106.57
28-Mar-96,0,0.7815,0.2,0.8701,1.2,8.802,-0.2,1.5254,0.25,1.189,-0.2,1.578,-0.25,140.8784,-0.55,1.3276,0,1.3635,-0.15,106.13
29-Mar-96,0,0.7815,0.55,0.8681,1.2,8.8555,-0.2,1.5258,0.25,1.1902,-0.2,1.5764,-0.25,142.0128,-0.3,1.3248,0,1.3587,-0.3,107.23
01-Apr-96,0,0.7852,0.4,0.8648,1.2,8.784,-0.55,1.5242,0.45,1.194,-0.2,1.5742,-0.25,141.6999,-0.35,1.3185,0,1.3545,-0.35,107.58
02-Apr-96,0.25,0.782,1,0.8655,1.2,8.7966,-0.65,1.5239,0.15,1.1946,-0.2,1.5758,-0.25,141.8563,-0.35,1.3193,-0.15,1.355,-0.25,107.54
03-Apr-96,0.3,0.7807,1,0.8651,1.2,8.7719,-0.4,1.5247,0.3,1.1964,,1.5784,-0.35,141.0936,-0.25,1.3193,-0.15,1.3575,-0.35,107.02
04-Apr-96,0.3,0.7823,0.3,0.8629,1.2,8.7746,-0.4,1.5311,0.3,1.1922,,1.5744,0,141.3674,-0.35,1.3214,-0.15,1.3575,-0.25,107.02
05-Apr-96,0.3,0.7834,0.3,0.8621,1.2,8.7746,-0.35,1.5282,0.35,1.1968,,1.5774,0,141.6999,-0.35,1.3178,0,1.3565,0,107.64
08-Apr-96,0.3,0.784,0.3,0.8633,1.2,8.7746,-0.5,1.5293,0.25,1.1953,,1.5793,0,142.2475,-0.35,1.3206,-0.13,1.3575,-0.15,107.73
09-Apr-96,0.2,0.786,0.3,0.8584,1.2,8.8038,-0.35,1.5201,0.35,1.212,,1.5819,-0.25,141.3478,-0.4,1.3052,0,1.358,-0.25,108.26
10-Apr-96,0.2,0.7876,0.3,0.8633,1.2,8.752,-0.35,1.5123,0.35,1.2143,,1.5858,-0.25,141.6021,-0.6,1.3058,0,1.357,-0.25,108.39
11-Apr-96,0.2,0.7897,0.3,0.8613,1.2,8.7404,-0.35,1.5107,0.35,1.2207,,1.5891,-0.25,141.25,-0.55,1.3015,0,1.3566,-0.25,108.5
12-Apr-96,0.2,0.7915,0.15,0.8592,1.2,8.7338,-0.5,1.514,0.35,1.2266,,1.595,-0.25,141.2305,-0.55,1.3011,-0.15,1.3562,-0.25,108.56
15-Apr-96,0.2,0.7895,0.15,0.8577,1.2,8.7382,-0.55,1.507,0.35,1.235,,1.5969,-0.3,140.3504,-0.5,1.2929,-0.15,1.3559,-0.2,108.54
16-Apr-96,0.15,0.7864,-0.1,0.8597,1.2,8.7471,-0.6,1.507,0.6,1.2286,,1.592,-0.35,140.1743,-0.45,1.2959,-0.15,1.3582,-0.1,108.17
17-Apr-96,0.15,0.7865,-0.3,0.8604,1.2,8.7606,-0.4,1.509,0.6,1.2269,,1.5917,-0.35,140.4677,-0.35,1.2987,-0.15,1.3566,0,108.2
18-Apr-96,0.2,0.7829,-0.3,0.8566,1.2,8.7148,-0.4,1.5189,0.6,1.2178,,1.586,-0.25,138.9226,-0.2,1.3015,-0.15,1.3635,-0.2,106.7
